carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
YV;Mesa Airlines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;197;0;10;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ELP;El Paso; TX: El Paso International;349;0;24;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;EVV;Evansville; IN: Evansville Regional;56;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FAT;Fresno; CA: Fresno Yosemite International;145;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FLG;Flagstaff; AZ: Flagstaff Pulliam;26;0;44587;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FSD;Sioux Falls; SD: Joe Foss Field;90;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;FSM;Fort Smith; AR: Fort Smith Regional;62;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GPT;Gulfport/Biloxi; MS: Gulfport-Biloxi International;80;0;44670;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GSO;Greensboro/High Point; NC: Piedmont Triad International;5;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;GSP;Greer; SC: Greenville-Spartanburg International;86;1;8;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HHH;Hilton Head; SC: Hilton Head Airport;61;1;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HOU;Houston; TX: William P Hobby;151;0;10;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HRL;Harlingen/San Benito; TX: Valley International;65;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;137;0;44818;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;IAD;Washington; DC: Washington Dulles International;1816;0;137;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;2752;11;244;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;84;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ILM;Wilmington; NC: Wilmington International;30;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;IND;Indianapolis; IN: Indianapolis International;31;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;JAN;Jackson/Vicksburg; MS: Jackson Medgar Wiley Evers International;118;1;9;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;JAX;Jacksonville; FL: Jacksonville International;71;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LBB;Lubbock; TX: Lubbock Preston Smith International;148;0;12;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;90;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LGA;New York; NY: LaGuardia;68;1;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LGB;Long Beach; CA: Long Beach Airport;90;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;4;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MAF;Midland/Odessa; TX: Midland International Air and Space Port;299;1;28;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MCI;Kansas City; MO: Kansas City International;90;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MDT;Harrisburg; PA: Harrisburg International;4;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MEM;Memphis; TN: Memphis International;85;0;44621;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MFE;Mission/McAllen/Edinburg; TX: McAllen Miller International;120;0;44854;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MHT;Manchester; NH: Manchester-Boston Regional;88;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MKE;Milwaukee; WI: General Mitchell International;30;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MLI;Moline; IL: Quad City International;56;0;44632;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MOB;Mobile; AL: Mobile Regional;118;0;9;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MRY;Monterey; CA: Monterey Regional;147;1;8;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MSN;Madison; WI: Dane County Regional-Truax Field;60;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;145;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;57;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;MTJ;Montrose/Delta; CO: Montrose Regional;31;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;OKC;Oklahoma City; OK: Will Rogers World;244;1;18;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;OMA;Omaha; NE: Eppley Airfield;37;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ONT;Ontario; CA: Ontario International;65;0;44712;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ORF;Norfolk; VA: Norfolk International;144;0;15;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PHL;Philadelphia; PA: Philadelphia International;79;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;1719;3;108;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PIA;Peoria; IL: General Downing - Peoria International;60;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;123;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PNS;Pensacola; FL: Pensacola International;54;0;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PSP;Palm Springs; CA: Palm Springs International;125;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;PVD;Providence; RI: Theodore Francis Green State;56;1;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RAP;Rapid City; SD: Rapid City Regional;60;1;3;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;67;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RIC;Richmond; VA: Richmond International;60;0;4;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RNO;Reno; NV: Reno/Tahoe International;58;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;ROC;Rochester; NY: Greater Rochester International;26;0;1;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;RSW;Fort Myers; FL: Southwest Florida International;28;0;0;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SAT;San Antonio; TX: San Antonio International;16;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;91;0;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SBA;Santa Barbara; CA: Santa Barbara Municipal;121;0;44889;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SBP;San Luis Obispo; CA: San Luis County Regional;88;3;6;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;122;2;44726;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SHV;Shreveport; LA: Shreveport Regional;11;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;59;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;STL;St. Louis; MO: St Louis Lambert International;45;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;STS;Santa Rosa; CA: Charles M. Schulz - Sonoma County;30;0;44586;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;SYR;Syracuse; NY: Syracuse Hancock International;82;0;5;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TUL;Tulsa; OK: Tulsa International;51;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TUS;Tucson; AZ: Tucson International;245;1;44885;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;TYS;Knoxville; TN: McGhee Tyson;85;0;7;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;52;0;2;;;;;;;;;;;;;;;
YV;Mesa Airlines Inc.;YUM;Yuma; AZ: Yuma MCAS/Yuma International;59;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;ABQ;Albuquerque; NM: Albuquerque International Sunport;10;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;AGS;Augusta; GA: Augusta Regional at Bush Field;32;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;447;0;26;;;;;;;;;;;;;;;
YX;Republic Airline;AUS;Austin; TX: Austin - Bergstrom International;58;1;0;;;;;;;;;;;;;;;
YX;Republic Airline;BDL;Hartford; CT: Bradley International;59;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;BGR;Bangor; ME: Bangor International;4;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;3;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;BNA;Nashville; TN: Nashville International;476;0;40;;;;;;;;;;;;;;;
YX;Republic Airline;BOS;Boston; MA: Logan International;674;0;18233;;;;;;;;;;;;;;;
YX;Republic Airline;BRO;Brownsville; TX: Brownsville South Padre Island International;27;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;BTR;Baton Rouge; LA: Baton Rouge Metropolitan/Ryan Field;51;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;BTV;Burlington; VT: Burlington International;68;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;BUF;Buffalo; NY: Buffalo Niagara International;147;0;18;;;;;;;;;;;;;;;
YX;Republic Airline;BZN;Bozeman; MT: Bozeman Yellowstone International;31;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;CAE;Columbia; SC: Columbia Metropolitan;89;0;5;;;;;;;;;;;;;;;
YX;Republic Airline;CHS;Charleston; SC: Charleston AFB/International;299;0;44667;;;;;;;;;;;;;;;
YX;Republic Airline;CLE;Cleveland; OH: Cleveland-Hopkins International;171;0;11;;;;;;;;;;;;;;;
YX;Republic Airline;CLT;Charlotte; NC: Charlotte Douglas International;1081;5;82;;;;;;;;;;;;;;;
YX;Republic Airline;CMH;Columbus; OH: John Glenn Columbus International;1118;0;89;;;;;;;;;;;;;;;
YX;Republic Airline;CRP;Corpus Christi; TX: Corpus Christi International;3;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;250;0;18;;;;;;;;;;;;;;;
YX;Republic Airline;DAY;Dayton; OH: James M Cox/Dayton International;49;0;10;;;;;;;;;;;;;;;
YX;Republic Airline;DCA;Washington; DC: Ronald Reagan Washington National;2896;3;181;;;;;;;;;;;;;;;
YX;Republic Airline;DEN;Denver; CO: Denver International;239;1;26;;;;;;;;;;;;;;;
YX;Republic Airline;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;169;1;44671;;;;;;;;;;;;;;;
YX;Republic Airline;DSM;Des Moines; IA: Des Moines International;64;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;DTW;Detroit; MI: Detroit Metro Wayne County;603;0;44;;;;;;;;;;;;;;;
YX;Republic Airline;ELP;El Paso; TX: El Paso International;38;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;EWR;Newark; NJ: Newark Liberty International;2223;2;154;;;;;;;;;;;;;;;
YX;Republic Airline;EYW;Key West; FL: Key West International;350;1;16;;;;;;;;;;;;;;;
YX;Republic Airline;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;4;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;GJT;Grand Junction; CO: Grand Junction Regional;3;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;GRR;Grand Rapids; MI: Gerald R. Ford International;163;0;44760;;;;;;;;;;;;;;;
YX;Republic Airline;GSO;Greensboro/High Point; NC: Piedmont Triad International;93;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;GSP;Greer; SC: Greenville-Spartanburg International;22;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;HHH;Hilton Head; SC: Hilton Head Airport;106;0;44867;;;;;;;;;;;;;;;
YX;Republic Airline;HOU;Houston; TX: William P Hobby;;;;;;;;;;;;;;;;;;
YX;Republic Airline;HRL;Harlingen/San Benito; TX: Valley International;2;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;80;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;IAH;Houston; TX: George Bush Intercontinental/Houston;1330;12;65;;;;;;;;;;;;;;;
YX;Republic Airline;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;33;0;3;;;;;;;;;;;;;;;
YX;Republic Airline;IND;Indianapolis; IN: Indianapolis International;924;1;112;;;;;;;;;;;;;;;
YX;Republic Airline;JAX;Jacksonville; FL: Jacksonville International;354;0;44727;;;;;;;;;;;;;;;
YX;Republic Airline;JFK;New York; NY: John F. Kennedy International;200;0;13;;;;;;;;;;;;;;;
YX;Republic Airline;LEX;Lexington; KY: Blue Grass;55;0;6;;;;;;;;;;;;;;;
YX;Republic Airline;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;25;0;2;;;;;;;;;;;;;;;
YX;Republic Airline;LGA;New York; NY: LaGuardia;3115;10;178;;;;;;;;;;;;;;;
YX;Republic Airline;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;78;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;MAF;Midland/Odessa; TX: Midland International Air and Space Port;41;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;MCI;Kansas City; MO: Kansas City International;353;0;24;;;;;;;;;;;;;;;
YX;Republic Airline;MEM;Memphis; TN: Memphis International;273;0;18;;;;;;;;;;;;;;;
YX;Republic Airline;MHT;Manchester; NH: Manchester-Boston Regional;81;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;MIA;Miami; FL: Miami International;1008;1;28;;;;;;;;;;;;;;;
YX;Republic Airline;MKE;Milwaukee; WI: General Mitchell International;58;0;10;;;;;;;;;;;;;;;
YX;Republic Airline;MLB;Melbourne; FL: Melbourne International;4;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;MSN;Madison; WI: Dane County Regional-Truax Field;103;0;44923;;;;;;;;;;;;;;;
YX;Republic Airline;MSP;Minneapolis; MN: Minneapolis-St Paul International;419;1;45;;;;;;;;;;;;;;;
YX;Republic Airline;MSY;New Orleans; LA: Louis Armstrong New Orleans International;233;0;44825;;;;;;;;;;;;;;;
YX;Republic Airline;MYR;Myrtle Beach; SC: Myrtle Beach International;38;1;5;;;;;;;;;;;;;;;
YX;Republic Airline;OKC;Oklahoma City; OK: Will Rogers World;144;3;22;;;;;;;;;;;;;;;
YX;Republic Airline;OMA;Omaha; NE: Eppley Airfield;238;0;21;;;;;;;;;;;;;;;
YX;Republic Airline;ORD;Chicago; IL: Chicago O'Hare International;979;3;52;;;;;;;;;;;;;;;
YX;Republic Airline;ORF;Norfolk; VA: Norfolk International;118;0;5;;;;;;;;;;;;;;;
YX;Republic Airline;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;47;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;PHL;Philadelphia; PA: Philadelphia International;1246;2;36;;;;;;;;;;;;;;;
YX;Republic Airline;PIT;Pittsburgh; PA: Pittsburgh International;671;0;64;;;;;;;;;;;;;;;
YX;Republic Airline;PNS;Pensacola; FL: Pensacola International;69;0;3;;;;;;;;;;;;;;;
YX;Republic Airline;PVD;Providence; RI: Theodore Francis Green State;51;0;5;;;;;;;;;;;;;;;
YX;Republic Airline;PWM;Portland; ME: Portland International Jetport;189;0;25;;;;;;;;;;;;;;;
YX;Republic Airline;RAP;Rapid City; SD: Rapid City Regional;61;1;5;;;;;;;;;;;;;;;
YX;Republic Airline;RDU;Raleigh/Durham; NC: Raleigh-Durham International;661;1;62;;;;;;;;;;;;;;;
YX;Republic Airline;RIC;Richmond; VA: Richmond International;134;0;3;;;;;;;;;;;;;;;
YX;Republic Airline;ROC;Rochester; NY: Greater Rochester International;123;0;14;;;;;;;;;;;;;;;
YX;Republic Airline;RSW;Fort Myers; FL: Southwest Florida International;37;1;1;;;;;;;;;;;;;;;
YX;Republic Airline;SAT;San Antonio; TX: San Antonio International;31;1;0;;;;;;;;;;;;;;;
YX;Republic Airline;SAV;Savannah; GA: Savannah/Hilton Head International;27;1;44570;;;;;;;;;;;;;;;
YX;Republic Airline;SDF;Louisville; KY: Louisville Muhammad Ali International;477;0;44;;;;;;;;;;;;;;;
YX;Republic Airline;SLC;Salt Lake City; UT: Salt Lake City International;83;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;87;0;44735;;;;;;;;;;;;;;;
YX;Republic Airline;STL;St. Louis; MO: St Louis Lambert International;233;1;15;;;;;;;;;;;;;;;
YX;Republic Airline;SYR;Syracuse; NY: Syracuse Hancock International;57;0;4;;;;;;;;;;;;;;;
YX;Republic Airline;TLH;Tallahassee; FL: Tallahassee International;112;0;44679;;;;;;;;;;;;;;;
YX;Republic Airline;TPA;Tampa; FL: Tampa International;8;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;TUL;Tulsa; OK: Tulsa International;3;0;0;;;;;;;;;;;;;;;
YX;Republic Airline;TYS;Knoxville; TN: McGhee Tyson;60;0;7;;;;;;;;;;;;;;;
YX;Republic Airline;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;30;0;1;;;;;;;;;;;;;;;
YX;Republic Airline;XNA;Fayetteville; AR: Northwest Arkansas Regional;145;1;15;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PIA;Peoria; IL: General Downing - Peoria International;25;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PNS;Pensacola; FL: Pensacola International;46;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PVD;Providence; RI: Theodore Francis Green State;86;0;44855;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;PWM;Portland; ME: Portland International Jetport;30;0;4;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;RAP;Rapid City; SD: Rapid City Regional;2;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;RIC;Richmond; VA: Richmond International;94;0;10;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ROA;Roanoke; VA: Roanoke Blacksburg Regional Woodrum Field;38;0;44629;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;ROC;Rochester; NY: Greater Rochester International;32;0;1;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;RST;Rochester; MN: Rochester International;45;0;3;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SAV;Savannah; GA: Savannah/Hilton Head International;130;0;7;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SCE;State College; PA: University Park;1;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SDF;Louisville; KY: Louisville Muhammad Ali International;21;0;2;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SGF;Springfield; MO: Springfield-Branson National;11;0;0;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SHV;Shreveport; LA: Shreveport Regional;58;0;44674;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;STL;St. Louis; MO: St Louis Lambert International;148;1;44611;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;SYR;Syracuse; NY: Syracuse Hancock International;81;0;7;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;TUL;Tulsa; OK: Tulsa International;98;0;6;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;TYS;Knoxville; TN: McGhee Tyson;190;0;21;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;80;0;44601;;;;;;;;;;;;;;;
EV;ExpressJet Airlines LLC;XNA;Fayetteville; AR: Northwest Arkansas Regional;67;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ABQ;Albuquerque; NM: Albuquerque International Sunport;14;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ALB;Albany; NY: Albany International;39;0;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;335;0;52;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;AUS;Austin; TX: Austin - Bergstrom International;254;0;31;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BDL;Hartford; CT: Bradley International;39;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BFM;Mobile; AL: Mobile Downtown;21;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BHM;Birmingham; AL: Birmingham-Shuttlesworth International;25;1;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BIL;Billings; MT: Billings Logan International;1;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BIS;Bismarck/Mandan; ND: Bismarck Municipal;6;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BKG;Branson; MO: Branson Airport;33;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BMI;Bloomington/Normal; IL: Central Il Regional Airport at Bloomington;21;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BNA;Nashville; TN: Nashville International;96;0;21;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BOS;Boston; MA: Logan International;80;0;8;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BTV;Burlington; VT: Burlington International;14;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BUF;Buffalo; NY: Buffalo Niagara International;71;0;8;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;30;1;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;BZN;Bozeman; MT: Bozeman Yellowstone International;18;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CHS;Charleston; SC: Charleston AFB/International;54;0;44752;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CID;Cedar Rapids/Iowa City; IA: The Eastern Iowa;16;0;44594;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CLE;Cleveland; OH: Cleveland-Hopkins International;306;0;31;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CLT;Charlotte; NC: Charlotte Douglas International;111;0;24;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CMH;Columbus; OH: John Glenn Columbus International;37;0;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;COS;Colorado Springs; CO: City of Colorado Springs Municipal;147;0;44742;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;270;1;36;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DCA;Washington; DC: Ronald Reagan Washington National;93;0;19;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DEN;Denver; CO: Denver International;2378;8;376;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;133;0;22;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DSM;Des Moines; IA: Des Moines International;17;0;5;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;90;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ELP;El Paso; TX: El Paso International;18;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FAR;Fargo; ND: Hector International;14;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FAT;Fresno; CA: Fresno Yosemite International;13;0;44683;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;62;0;7;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;FSD;Sioux Falls; SD: Joe Foss Field;18;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GEG;Spokane; WA: Spokane International;22;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GRB;Green Bay; WI: Green Bay Austin Straubel International;4;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;36;0;1;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;GSP;Greer; SC: Greenville-Spartanburg International;35;0;44659;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;HRL;Harlingen/San Benito; TX: Valley International;18;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;HSV;Huntsville; AL: Huntsville International-Carl T Jones Field;26;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;IAD;Washington; DC: Washington Dulles International;87;1;6;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;111;0;17;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;13;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;IND;Indianapolis; IN: Indianapolis International;57;0;13;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;ISP;Islip; NY: Long Island MacArthur;113;1;16;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;JAC;Jackson; WY: Jackson Hole;7;0;0;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;JAN;Jackson/Vicksburg; MS: Jackson Medgar Wiley Evers International;18;0;44615;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;JAX;Jacksonville; FL: Jacksonville International;99;0;44874;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LAS;Las Vegas; NV: McCarran International;724;2;148;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LAX;Los Angeles; CA: Los Angeles International;57;0;10;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;18;0;44569;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LGA;New York; NY: LaGuardia;93;0;10;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;LIT;Little Rock; AR: Bill and Hillary Clinton Nat Adams Field;16;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MCI;Kansas City; MO: Kansas City International;43;0;4;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MCO;Orlando; FL: Orlando International;980;4;162;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MDT;Harrisburg; PA: Harrisburg International;26;0;3;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MEM;Memphis; TN: Memphis International;36;0;2;;;;;;;;;;;;;;;
F9;Frontier Airlines Inc.;MIA;Miami; FL: Miami International;62;0;44808;;;;;;;;;;;;;;;
