carrier;carrier_name;airport;airport_name;arr_flights;arr_del15; arr_delay;arr_cancelled;;;;Legtöbb járat szám;;;;;;;;;;;
9E;Endeavor Air Inc.;GRB;Green Bay; WI: Green Bay Austin Straubel International;28;2;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;24;0;44567;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GSO;Greensboro/High Point; NC: Piedmont Triad International;23;0;1;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;GTR;Columbus; MS: Golden Triangle Regional;78;0;44670;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;HPN;White Plains; NY: Westchester County;73;0;44634;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;HRL;Harlingen/San Benito; TX: Valley International;24;0;3;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;IAD;Washington; DC: Washington Dulles International;106;0;11;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;93;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;ILM;Wilmington; NC: Wilmington International;98;0;7;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;IND;Indianapolis; IN: Indianapolis International;163;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;JAX;Jacksonville; FL: Jacksonville International;108;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;JFK;New York; NY: John F. Kennedy International;1431;2;94;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LEX;Lexington; KY: Blue Grass;161;2;20;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LFT;Lafayette; LA: Lafayette Regional Paul Fournet Field;28;0;0;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LGA;New York; NY: LaGuardia;1961;2;142;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;LNK;Lincoln; NE: Lincoln Airport;20;0;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MBS;Saginaw/Bay City/Midland; MI: MBS International;20;0;1;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MCI;Kansas City; MO: Kansas City International;89;1;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MEM;Memphis; TN: Memphis International;50;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MGM;Montgomery; AL: Montgomery Regional;47;0;3;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MHT;Manchester; NH: Manchester-Boston Regional;22;0;3;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MKE;Milwaukee; WI: General Mitchell International;2;0;0;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MLI;Moline; IL: Quad City International;78;0;44679;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MSN;Madison; WI: Dane County Regional-Truax Field;83;1;5;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;774;2;68;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;51;0;4;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;OAJ;Jacksonville/Camp Lejeune; NC: Albert J Ellis;78;1;7;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;OMA;Omaha; NE: Eppley Airfield;72;0;11;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;ORD;Chicago; IL: Chicago O'Hare International;142;0;13;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;ORF;Norfolk; VA: Norfolk International;193;0;17;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;PHF;Newport News/Williamsburg; VA: Newport News/Williamsburg International;50;0;1;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;PHL;Philadelphia; PA: Philadelphia International;175;0;18;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;PIT;Pittsburgh; PA: Pittsburgh International;347;1;30;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;PVD;Providence; RI: Theodore Francis Green State;21;0;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;PWM;Portland; ME: Portland International Jetport;108;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;348;0;40;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;RIC;Richmond; VA: Richmond International;112;0;9;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;ROA;Roanoke; VA: Roanoke Blacksburg Regional Woodrum Field;24;0;44648;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;ROC;Rochester; NY: Greater Rochester International;158;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;RSW;Fort Myers; FL: Southwest Florida International;90;0;4;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SAT;San Antonio; TX: San Antonio International;20;0;44567;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;74;0;6;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SBN;South Bend; IN: South Bend International;24;0;1;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;47;0;3;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SGF;Springfield; MO: Springfield-Branson National;106;0;44852;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SHV;Shreveport; LA: Shreveport Regional;52;1;10;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;27;0;0;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;STL;St. Louis; MO: St Louis Lambert International;179;0;12;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;SYR;Syracuse; NY: Syracuse Hancock International;178;0;10;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;TLH;Tallahassee; FL: Tallahassee International;47;0;5;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;TUL;Tulsa; OK: Tulsa International;76;0;8;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;TVC;Traverse City; MI: Cherry Capital;50;0;2;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;TYS;Knoxville; TN: McGhee Tyson;349;1;30;;;;;;;;;;;;;;;
9E;Endeavor Air Inc.;XNA;Fayetteville; AR: Northwest Arkansas Regional;161;1;44908;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ABQ;Albuquerque; NM: Albuquerque International Sunport;144;0;11;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ALB;Albany; NY: Albany International;67;1;2;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;913;4;64;;;;;;;;;;;;;;;
AA;American Airlines Inc.;AUS;Austin; TX: Austin - Bergstrom International;910;0;26024;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BDL;Hartford; CT: Bradley International;382;0;34;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BNA;Nashville; TN: Nashville International;490;1;48;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BOI;Boise; ID: Boise Air Terminal;54;0;2;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BOS;Boston; MA: Logan International;2044;0;157;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BUF;Buffalo; NY: Buffalo Niagara International;124;2;10;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;428;0;12024;;;;;;;;;;;;;;;
AA;American Airlines Inc.;BZN;Bozeman; MT: Bozeman Yellowstone International;28;1;44606;;;;;;;;;;;;;;;
AA;American Airlines Inc.;CAE;Columbia; SC: Columbia Metropolitan;52;0;44627;;;;;;;;;;;;;;;
AA;American Airlines Inc.;CHS;Charleston; SC: Charleston AFB/International;124;0;44926;;;;;;;;;;;;;;;
AA;American Airlines Inc.;CLE;Cleveland; OH: Cleveland-Hopkins International;229;0;13;;;;;;;;;;;;;;;
AA;American Airlines Inc.;CLT;Charlotte; NC: Charlotte Douglas International;7497;13;512;;;;;;;;;;;;;;;
AA;American Airlines Inc.;CMH;Columbus; OH: John Glenn Columbus International;231;0;18;;;;;;;;;;;;;;;
AA;American Airlines Inc.;COS;Colorado Springs; CO: City of Colorado Springs Municipal;109;1;8;;;;;;;;;;;;;;;
AA;American Airlines Inc.;CVG;Cincinnati; OH: Cincinnati/Northern Kentucky International;56;0;6;;;;;;;;;;;;;;;
AA;American Airlines Inc.;DAB;Daytona Beach; FL: Daytona Beach International;2;0;0;;;;;;;;;;;;;;;
AA;American Airlines Inc.;DCA;Washington; DC: Ronald Reagan Washington National;1853;4;156;;;;;;;;;;;;;;;
AA;American Airlines Inc.;DEN;Denver; CO: Denver International;751;3;19633;;;;;;;;;;;;;;;
AA;American Airlines Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;10930;28;944;;;;;;;;;;;;;;;
AA;American Airlines Inc.;DSM;Des Moines; IA: Des Moines International;151;3;9;;;;;;;;;;;;;;;
AA;American Airlines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;413;1;32;;;;;;;;;;;;;;;
AA;American Airlines Inc.;EGE;Eagle; CO: Eagle County Regional;174;4;10;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ELP;El Paso; TX: El Paso International;129;0;12;;;;;;;;;;;;;;;
AA;American Airlines Inc.;EWR;Newark; NJ: Newark Liberty International;517;3;45;;;;;;;;;;;;;;;
AA;American Airlines Inc.;FAT;Fresno; CA: Fresno Yosemite International;54;0;4;;;;;;;;;;;;;;;
AA;American Airlines Inc.;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;521;0;38;;;;;;;;;;;;;;;
AA;American Airlines Inc.;GEG;Spokane; WA: Spokane International;52;0;44685;;;;;;;;;;;;;;;
AA;American Airlines Inc.;GRR;Grand Rapids; MI: Gerald R. Ford International;50;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;GSO;Greensboro/High Point; NC: Piedmont Triad International;24;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;GSP;Greer; SC: Greenville-Spartanburg International;54;0;44812;;;;;;;;;;;;;;;
AA;American Airlines Inc.;GUC;Gunnison; CO: Gunnison-Crested Butte Regional;32;0;0;;;;;;;;;;;;;;;
AA;American Airlines Inc.;HDN;Hayden; CO: Yampa Valley;28;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;HNL;Honolulu; HI: Daniel K Inouye International;204;0;7;;;;;;;;;;;;;;;
AA;American Airlines Inc.;IAD;Washington; DC: Washington Dulles International;175;1;9;;;;;;;;;;;;;;;
AA;American Airlines Inc.;IAH;Houston; TX: George Bush Intercontinental/Houston;691;0;54;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ICT;Wichita; KS: Wichita Dwight D Eisenhower National;69;1;6;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ILM;Wilmington; NC: Wilmington International;65;0;2;;;;;;;;;;;;;;;
AA;American Airlines Inc.;IND;Indianapolis; IN: Indianapolis International;323;0;31;;;;;;;;;;;;;;;
AA;American Airlines Inc.;JAC;Jackson; WY: Jackson Hole;75;2;7;;;;;;;;;;;;;;;
AA;American Airlines Inc.;JAX;Jacksonville; FL: Jacksonville International;326;0;44766;;;;;;;;;;;;;;;
AA;American Airlines Inc.;JFK;New York; NY: John F. Kennedy International;1403;2;74;;;;;;;;;;;;;;;
AA;American Airlines Inc.;KOA;Kona; HI: Ellison Onizuka Kona International at Keahole;73;0;2;;;;;;;;;;;;;;;
AA;American Airlines Inc.;LAS;Las Vegas; NV: McCarran International;1068;3;86;;;;;;;;;;;;;;;
AA;American Airlines Inc.;LAX;Los Angeles; CA: Los Angeles International;3113;26;205;;;;;;;;;;;;;;;
AA;American Airlines Inc.;LGA;New York; NY: LaGuardia;1742;1;132;;;;;;;;;;;;;;;
AA;American Airlines Inc.;LIH;Lihue; HI: Lihue Airport;62;1;44677;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MAF;Midland/Odessa; TX: Midland International Air and Space Port;13;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MCI;Kansas City; MO: Kansas City International;363;0;39;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MCO;Orlando; FL: Orlando International;1459;1;107;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MDT;Harrisburg; PA: Harrisburg International;50;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MEM;Memphis; TN: Memphis International;224;0;25;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MHT;Manchester; NH: Manchester-Boston Regional;51;0;4;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MIA;Miami; FL: Miami International;4230;7;210;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MKE;Milwaukee; WI: General Mitchell International;127;2;7;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MSP;Minneapolis; MN: Minneapolis-St Paul International;578;2;62;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MSY;New Orleans; LA: Louis Armstrong New Orleans International;616;2;60;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MTJ;Montrose/Delta; CO: Montrose Regional;32;0;44597;;;;;;;;;;;;;;;
AA;American Airlines Inc.;MYR;Myrtle Beach; SC: Myrtle Beach International;24;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;OAK;Oakland; CA: Metropolitan Oakland International;104;0;5;;;;;;;;;;;;;;;
AA;American Airlines Inc.;OGG;Kahului; HI: Kahului Airport;113;0;5;;;;;;;;;;;;;;;
AA;American Airlines Inc.;OKC;Oklahoma City; OK: Will Rogers World;194;0;16;;;;;;;;;;;;;;;
AA;American Airlines Inc.;OMA;Omaha; NE: Eppley Airfield;161;0;44872;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ONT;Ontario; CA: Ontario International;190;0;23;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ORD;Chicago; IL: Chicago O'Hare International;4902;3;391;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ORF;Norfolk; VA: Norfolk International;150;0;44715;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PBI;West Palm Beach/Palm Beach; FL: Palm Beach International;434;0;44865;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PDX;Portland; OR: Portland International;257;0;44917;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PHL;Philadelphia; PA: Philadelphia International;3685;5;202;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PHX;Phoenix; AZ: Phoenix Sky Harbor International;4432;13;258;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PIT;Pittsburgh; PA: Pittsburgh International;437;0;24;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PNS;Pensacola; FL: Pensacola International;56;0;3;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PSP;Palm Springs; CA: Palm Springs International;140;0;13;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PVD;Providence; RI: Theodore Francis Green State;201;1;44738;;;;;;;;;;;;;;;
AA;American Airlines Inc.;PWM;Portland; ME: Portland International Jetport;125;0;44671;;;;;;;;;;;;;;;
AA;American Airlines Inc.;RDU;Raleigh/Durham; NC: Raleigh-Durham International;700;1;53;;;;;;;;;;;;;;;
AA;American Airlines Inc.;RIC;Richmond; VA: Richmond International;204;0;7;;;;;;;;;;;;;;;
AA;American Airlines Inc.;RNO;Reno; NV: Reno/Tahoe International;95;1;14;;;;;;;;;;;;;;;
AA;American Airlines Inc.;ROC;Rochester; NY: Greater Rochester International;27;0;0;;;;;;;;;;;;;;;
AA;American Airlines Inc.;RSW;Fort Myers; FL: Southwest Florida International;511;0;43;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SAN;San Diego; CA: San Diego International;634;4;53;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SAT;San Antonio; TX: San Antonio International;714;1;73;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SAV;Savannah; GA: Savannah/Hilton Head International;83;0;8;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SDF;Louisville; KY: Louisville Muhammad Ali International;26;0;2;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SEA;Seattle; WA: Seattle/Tacoma International;516;5;35;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SFO;San Francisco; CA: San Francisco International;972;6;25781;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SJC;San Jose; CA: Norman Y. Mineta San Jose International;265;0;23;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SJU;San Juan; PR: Luis Munoz Marin International;341;0;17;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SLC;Salt Lake City; UT: Salt Lake City International;399;0;47;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SMF;Sacramento; CA: Sacramento International;316;0;23;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SNA;Santa Ana; CA: John Wayne Airport-Orange County;447;1;36;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SRQ;Sarasota/Bradenton; FL: Sarasota/Bradenton International;56;0;4;;;;;;;;;;;;;;;
AA;American Airlines Inc.;STL;St. Louis; MO: St Louis Lambert International;492;0;59;;;;;;;;;;;;;;;
AA;American Airlines Inc.;STT;Charlotte Amalie; VI: Cyril E King;108;2;44587;;;;;;;;;;;;;;;
AA;American Airlines Inc.;STX;Christiansted; VI: Henry E. Rohlsen;60;0;1;;;;;;;;;;;;;;;
AA;American Airlines Inc.;SYR;Syracuse; NY: Syracuse Hancock International;53;0;7;;;;;;;;;;;;;;;
AA;American Airlines Inc.;TPA;Tampa; FL: Tampa International;1029;0;67;;;;;;;;;;;;;;;
AA;American Airlines Inc.;TUL;Tulsa; OK: Tulsa International;214;0;23;;;;;;;;;;;;;;;
AA;American Airlines Inc.;TUS;Tucson; AZ: Tucson International;309;1;28;;;;;;;;;;;;;;;
AA;American Airlines Inc.;VPS;Valparaiso; FL: Eglin AFB Destin Fort Walton Beach;84;3;44710;;;;;;;;;;;;;;;
AA;American Airlines Inc.;XNA;Fayetteville; AR: Northwest Arkansas Regional;50;0;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ABQ;Albuquerque; NM: Albuquerque International Sunport;28;0;1;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ADK;Adak Island; AK: Adak;8;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ADQ;Kodiak; AK: Kodiak Airport;48;0;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ANC;Anchorage; AK: Ted Stevens Anchorage International;1053;1;65;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;ATL;Atlanta; GA: Hartsfield-Jackson Atlanta International;32;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;AUS;Austin; TX: Austin - Bergstrom International;125;0;18;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BET;Bethel; AK: Bethel Airport;64;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BLI;Bellingham; WA: Bellingham International;60;3;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BNA;Nashville; TN: Nashville International;56;0;44771;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BOI;Boise; ID: Boise Air Terminal;54;0;8;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BOS;Boston; MA: Logan International;184;0;44758;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BRW;Barrow; AK: Wiley Post/Will Rogers Memorial;56;2;3;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BUR;Burbank; CA: Bob Hope;66;0;4;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;BWI;Baltimore; MD: Baltimore/Washington International Thurgood Marshall;100;0;2;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;CDV;Cordova; AK: Merle K Mudhole Smith;56;3;5;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;CHS;Charleston; SC: Charleston AFB/International;20;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;DCA;Washington; DC: Ronald Reagan Washington National;140;0;44695;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;DEN;Denver; CO: Denver International;128;1;11;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;DFW;Dallas/Fort Worth; TX: Dallas/Fort Worth International;101;0;3;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;DTW;Detroit; MI: Detroit Metro Wayne County;28;0;0;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;EWR;Newark; NJ: Newark Liberty International;268;0;10;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;FAI;Fairbanks; AK: Fairbanks International;314;0;14;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;FLL;Fort Lauderdale; FL: Fort Lauderdale-Hollywood International;109;1;4;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;GEG;Spokane; WA: Spokane International;101;0;14;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;HNL;Honolulu; HI: Daniel K Inouye International;244;2;44854;;;;;;;;;;;;;;;
AS;Alaska Airlines Inc.;IAD;Washington; DC: Washington Dulles International;124;0;44764;;;;;;;;;;;;;;;
